epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.023,1.65102,1.81737,1.52999,0.55875,0.43707,0.43965,0.16109,2.17697,2.77669,1.96941,0.000552832,0.000552832,0.000552832
2,131.265,1.84589,1.84094,1.68907,0.65397,0.57906,0.62353,0.35167,1.54689,3.0498,1.50952,0.00110066,0.00110066,0.00110066
3,182.692,1.82096,1.78998,1.66941,0.6901,0.60682,0.64274,0.32692,1.61848,2.2006,1.53935,0.00164063,0.00164063,0.00164063
4,233.573,1.76827,1.69953,1.63892,0.78365,0.68627,0.73277,0.45676,1.34756,1.38186,1.33072,0.00163164,0.00163164,0.00163164
5,284.574,1.6912,1.59628,1.58373,0.77193,0.67329,0.7239,0.45584,1.40773,1.42887,1.36504,0.00161985,0.00161985,0.00161985
6,335.625,1.63523,1.49633,1.54021,0.80536,0.70561,0.76548,0.44163,1.49439,1.19773,1.38944,0.00160806,0.00160806,0.00160806
7,386.417,1.58473,1.43136,1.50645,0.83566,0.72202,0.80403,0.53424,1.22061,0.98533,1.23,0.00159627,0.00159627,0.00159627
8,437.406,1.56895,1.39901,1.49888,0.8663,0.73546,0.81754,0.55405,1.18292,0.96415,1.2188,0.00158448,0.00158448,0.00158448
9,488.326,1.51305,1.3452,1.4728,0.8675,0.7519,0.82868,0.57394,1.13554,0.89292,1.18906,0.0015727,0.0015727,0.0015727
10,539.29,1.48367,1.29035,1.44494,0.88286,0.77515,0.85152,0.57743,1.16604,0.85443,1.19319,0.00156091,0.00156091,0.00156091
11,590.103,1.44781,1.24864,1.41976,0.8839,0.75425,0.84363,0.60022,1.08792,0.82143,1.16882,0.00154912,0.00154912,0.00154912
12,641.116,1.45302,1.23271,1.4171,0.88668,0.7865,0.86467,0.61152,1.08809,0.80199,1.15436,0.00153733,0.00153733,0.00153733
13,692.005,1.42601,1.20682,1.39968,0.87778,0.78097,0.85776,0.61292,1.06584,0.76672,1.14635,0.00152554,0.00152554,0.00152554
14,742.998,1.42608,1.21283,1.40047,0.89927,0.77658,0.86161,0.61821,1.07065,0.77524,1.14826,0.00151376,0.00151376,0.00151376
15,793.835,1.39836,1.16933,1.38651,0.89253,0.79328,0.87232,0.62746,1.03055,0.73749,1.13028,0.00150197,0.00150197,0.00150197
16,844.661,1.39235,1.15651,1.37518,0.89355,0.79906,0.87163,0.633,1.033,0.73554,1.11736,0.00149018,0.00149018,0.00149018
17,895.674,1.37,1.13328,1.36232,0.90932,0.78956,0.87926,0.63144,1.0616,0.70514,1.11798,0.00147839,0.00147839,0.00147839
